,doc1,feq_doc1,doc2,feq_doc2,doc3,feq_doc3,doc4,feq_doc4,doc5,feq_doc5,doc6,feq_doc6,doc7,feq_doc7,doc8,feq_doc8,doc9,feq_doc9,doc10,feq_doc10,doc11,feq_doc11,doc12,feq_doc12,doc13,feq_doc13,doc14,feq_doc14,doc15,feq_doc15,doc16,feq_doc16,doc17,feq_doc17,doc18,feq_doc18,doc19,feq_doc19,doc20,feq_doc20
0,the,273.0,the,322.0,the,25.0,the,360.0,the,612.0,the,407.0,the,266.0,the,504.0,the,23.0,the,26.0,1,148.0,the,62.0,the,30.0,report,98.0,the,261.0,the,106.0,the,80.0,the,18.0,the,894,the,963.0
1,of,138.0,of,111.0,wanzer,15.0,dna,200.0,of,191.0,of,296.0,of,109.0,of,223.0,of,20.0,of,9.0,n,118.0,of,47.0,a,16.0,goal,71.0,of,159.0,and,56.0,in,57.0,and,16.0,of,600,of,477.0
2,and,123.0,and,91.0,a,9.0,of,178.0,in,189.0,and,286.0,to,103.0,a,147.0,in,12.0,in,8.0,a,102.0,in,40.0,in,14.0,liddell,26.0,and,125.0,in,55.0,she,35.0,of,15.0,in,486,king,414.0
3,a,84.0,a,57.0,in,9.0,replication,143.0,and,173.0,cats,261.0,and,87.0,to,143.0,he,12.0,for,8.0,the,95.0,2,23.0,of,12.0,a,24.0,to,122.0,of,50.0,and,30.0,a,14.0,and,429,and,403.0
4,to,81.0,in,56.0,was,8.0,a,118.0,to,136.0,to,252.0,a,53.0,that,111.0,and,9.0,qs,7.0,over,86.0,3,23.0,stamps,12.0,h,24.0,weight,99.0,menage,49.0,of,22.0,in,11.0,franklin,402,in,387.0
5,is,62.0,cell,54.0,and,8.0,in,102.0,a,121.0,a,218.0,in,52.0,and,107.0,acireale,8.0,enterprises,7.0,displaystyle,67.0,party,21.0,value,10.0,42,22.0,in,96.0,a,41.0,team,20.0,haston,7.0,a,364,to,387.0
6,as,59.0,is,53.0,royals,7.0,and,101.0,oktoberfest,105.0,in,194.0,or,41.0,south,101.0,to,7.0,ltd,6.0,infty,60.0,1,16.0,stamp,9.0,city,19.0,a,95.0,to,39.0,ohea,16.0,book,5.0,to,345,a,284.0
7,in,54.0,as,42.0,he,6.0,to,89.0,is,80.0,cat,140.0,that,36.0,in,99.0,a,7.0,and,6.0,series,54.0,seats,16.0,machine,7.0,arnell,13.0,is,76.0,s,26.0,for,16.0,is,4.0,his,231,that,209.0
8,that,41.0,air,41.0,hall,5.0,is,83.0,was,64.0,are,132.0,industry,35.0,korea,93.0,for,7.0,london,5.0,of,53.0,christian,15.0,variable,6.0,evans,13.0,for,66.0,was,24.0,was,16.0,rising,4.0,he,217,was,198.0
9,with,38.0,to,37.0,to,5.0,strand,76.0,for,55.0,as,124.0,commission,32.0,north,85.0,was,5.0,a,5.0,sum,51.0,overall,15.0,frama,6.0,united,12.0,pregnancy,45.0,he,24.0,at,15.0,dead,4.0,was,210,s,179.0
10,or,32.0,at,34.0,season,5.0,are,40.0,–,55.0,is,113.0,on,31.0,korean,82.0,vigo,4.0,from,4.0,2,40.0,4,14.0,labels,6.0,the,10.0,as,43.0,his,17.0,a,15.0,moon,4.0,that,142,his,169.0
11,are,31.0,it,33.0,as,4.0,by,37.0,with,51.0,with,80.0,building,28.0,on,81.0,di,4.0,queen,4.0,n1,40.0,parliament,13.0,postage,5.0,6,10.0,gain,42.0,minneapolis,15.0,3,15.0,echo,4.0,as,136,he,164.0
12,santería,28.0,circulation,32.0,basketball,4.0,polymerase,36.0,beer,47.0,have,80.0,was,27.0,was,73.0,st,4.0,square,4.0,is,37.0,and,13.0,similar,5.0,edit,9.0,be,36.0,1,15.0,with,13.0,magical,4.0,s,133,for,138.0
13,be,24.0,are,32.0,coach,4.0,this,32.0,festival,47.0,their,75.0,royal,26.0,by,63.0,san,3.0,charity,4.0,if,31.0,10,10.0,to,5.0,rovers,9.0,on,35.0,for,15.0,to,13.0,whispers,4.0,on,133,on,127.0
14,for,23.0,hadley,31.0,of,4.0,as,30.0,at,43.0,by,64.0,construction,25.0,sinking,55.0,his,3.0,nhs,4.0,frac,28.0,coalition,10.0,and,5.0,21,8.0,during,34.0,with,14.0,season,13.0,published,4.0,for,130,with,108.0
15,their,23.0,polar,29.0,with,4.0,on,30.0,on,41.0,or,63.0,report,23.0,for,46.0,portraits,3.0,hospital,4.0,left,22.0,won,10.0,for,5.0,11,7.0,that,34.0,king,13.0,australian,12.0,for,4.0,by,114,by,95.0
16,by,21.0,by,27.0,for,4.0,for,29.0,by,40.0,can,62.0,an,23.0,with,41.0,professor,3.0,uclh,4.0,right,22.0,decrease,10.0,been,5.0,13,7.0,women,34.0,by,13.0,2012,11.0,elephants,4.0,with,96,i,95.0
17,orichás,21.0,ferrel,27.0,also,3.0,strands,29.0,s,39.0,that,62.0,edit,23.0,cheonan,38.0,poet,3.0,hospitals,3.0,3,21.0,was,9.0,also,5.0,twentyman,7.0,are,34.0,land,12.0,basketball,11.0,s,4.0,from,80,rights,83.0
18,known,19.0,that,25.0,at,3.0,from,28.0,tents,39.0,they,60.0,by,21.0,2010,37.0,church,3.0,first,3.0,b,20.0,government,9.0,from,4.0,19,7.0,up,34.0,were,11.0,national,11.0,was,4.0,it,64,as,82.0
19,traditional,19.0,surface,22.0,seton,3.0,template,28.0,tent,39.0,for,59.0,commissioner,21.0,had,37.0,bonaccorsi,2.0,to,3.0,test,20.0,edit,9.0,printed,4.0,16,7.0,birth,33.0,real,10.0,her,11.0,to,4.0,philadelphia,59,civil,76.0
20,from,19.0,cells,18.0,after,3.0,with,28.0,munich,37.0,be,52.0,for,18.0,s,36.0,il,2.0,trust,3.0,and,19.0,vote,9.0,or,4.0,2–1,7.0,jump,33.0,estate,10.0,game,10.0,from,3.0,benjamin,58,at,71.0
21,healing,17.0,this,17.0,team,3.0,that,28.0,as,37.0,on,51.0,act,17.0,it,36.0,an,2.0,national,3.0,converges,19.0,steady,9.0,postal,4.0,fa,6.0,fetal,32.0,city,10.0,wnbl,9.0,fiction,3.0,an,58,from,66.0
22,6,17.0,pacific,17.0,1,3.0,fork,24.0,from,36.0,may,48.0,government,16.0,torpedo,33.0,italian,2.0,neurology,3.0,that,18.0,democratic,8.0,as,4.0,cup,6.0,health,31.0,minnesota,9.0,played,9.0,historical,3.0,which,58,an,65.0
23,an,16.0,from,16.0,star,3.0,nucleotides,22.0,are,36.0,domestic,48.0,at,15.0,ship,33.0,1,2.0,neurosurgery,3.0,convergent,18.0,9,8.0,atm,4.0,18,6.0,gestational,28.0,as,8.0,s,7.0,blood,3.0,had,55,it,60.0
24,also,15.0,on,16.0,were,3.0,at,22.0,this,36.0,which,45.0,relations,14.0,an,31.0,catania,2.0,scanner,3.0,cdots,18.0,75,8.0,2,4.0,1,6.0,or,27.0,at,8.0,points,7.0,doves,3.0,pennsylvania,54,had,59.0
25,they,15.0,s,16.0,nba,3.0,synthesis,22.0,first,32.0,this,44.0,s,14.0,investigation,30.0,under,2.0,as,3.0,f,18.0,opposition,8.0,collecting,4.0,2,6.0,4,26.0,had,8.0,per,7.0,2013,3.0,is,52,have,55.0
26,on,14.0,which,16.0,his,3.0,each,20.0,were,26.0,s,43.0,with,14.0,at,30.0,giuseppe,2.0,central,2.0,s,17.0,0,8.0,edit,4.0,anderson,6.0,this,25.0,new,8.0,jenna,6.0,an,3.0,at,52,is,54.0
27,orichá,14.0,equator,14.0,on,3.0,process,20.0,it,24.0,from,42.0,practice,14.0,were,29.0,portrait,2.0,university,2.0,to,17.0,to,7.0,were,4.0,8,6.0,it,24.0,business,8.0,2,6.0,career,3.0,first,51,march,53.0
28,which,14.0,winds,14.0,4,2.0,these,19.0,which,24.0,also,39.0,be,14.0,as,27.0,at,2.0,college,2.0,then,17.0,social,7.0,is,3.0,80,6.0,growth,22.0,from,7.0,4,6.0,october,3.0,american,49,luther,52.0
29,religion,12.0,toward,14.0,january,2.0,3,19.0,an,23.0,humans,34.0,cole,13.0,been,26.0,rome,2.0,1,2.0,sequence,14.0,european,7.0,be,3.0,15,6.0,edit,22.0,on,7.0,6,6.0,class,3.0,be,47,movement,52.0
30,not,12.0,earth,13.0,23,2.0,proteins,18.0,visitors,22.0,other,32.0,12,13.0,report,26.0,roman,2.0,was,2.0,convergence,14.0,group,7.0,by,3.0,bristol,6.0,maternal,21.0,lake,7.0,rangers,6.0,novels,2.0,this,47,martin,51.0
31,was,12.0,atmospheric,12.0,2016,2.0,be,18.0,wiesn,21.0,feral,32.0,as,13.0,may,25.0,1859,2.0,health,2.0,k,12.0,a,7.0,an,3.0,82,6.0,s,21.0,after,7.0,games,6.0,several,2.0,not,45,not,49.0
32,practices,11.0,weather,12.0,an,2.0,edit,18.0,since,21.0,many,32.0,were,12.0,military,25.0,baron,2.0,sector,2.0,for,12.0,election,7.0,with,3.0,1–2,6.0,from,20.0,later,7.0,5,6.0,19th,2.0,new,45,but,48.0
